w1,w2,count,p1,p2,joint.prob.nonnorm,joint.prob,expected,disparity,score
i,didnt,58,0.014264622,0.000930587,1.33E-05,5.19E-05,15.77396989,3.676943751,0.488206463
having,a,58,0.0006741,0.021117428,1.42E-05,5.56E-05,16.91566931,3.428773578,0.487812572
a,relationship,58,0.021117428,0.001124597,2.37E-05,9.28E-05,28.22028734,2.055259016,0.485632561
what,i,58,0.002982483,0.014264622,4.25E-05,0.000166238,50.55473741,1.147271314,0.484191423
gives,dbs,15,0.000184145,0.000105225,1.94E-08,7.57E-08,0.02302518,651.4607119,0.476788075
reply,cancel,16,0.000358424,5.92E-05,2.12E-08,8.29E-08,0.025209488,634.6816694,0.474332714
no,one,57,0.002219599,0.002456356,5.45E-06,2.13E-05,6.478722805,8.798030371,0.472158575
you,may,57,0.010821778,0.001035813,1.12E-05,4.38E-05,13.31997655,4.279286813,0.464986526
to,pay,57,0.02759208,0.000430767,1.19E-05,4.64E-05,14.12375063,4.035755197,0.464599998
he,would,57,0.007599249,0.002259058,1.72E-05,6.71E-05,20.39960258,2.794172081,0.462629385
the,last,57,0.032968442,0.0006741,2.22E-05,8.68E-05,26.40867339,2.158381799,0.461620272
go,to,57,0.001177209,0.02759208,3.25E-05,0.00012692,38.59773072,1.476770757,0.460538435
effective,ways,11,6.58E-05,0.000200586,1.32E-08,5.15E-08,0.015675625,701.7264236,0.459864846
and,im,57,0.022837206,0.002097932,4.79E-05,0.000187209,56.93219825,1.001190921,0.459783605
of,stock,56,0.01604359,0.000184145,2.95E-06,1.15E-05,3.510620377,15.95159658,0.459336594
tmz,live,52,0.000805632,0.000723425,5.83E-07,2.28E-06,0.692554235,75.08437226,0.456486971
dna,test,15,0.000111802,0.000177568,1.99E-08,7.76E-08,0.02359053,635.8483637,0.452008503
shoes,worth,20,0.00013482,0.000223604,3.01E-08,1.18E-07,0.035822657,558.3058803,0.44981461
did,not,56,0.001101579,0.005146181,5.67E-06,2.22E-05,6.736342701,8.313116254,0.447212968
williams,breaks,15,0.00017428,0.00011509,2.01E-08,7.84E-08,0.023834659,629.3356311,0.441671639
african,americans,10,0.000157838,7.56E-05,1.19E-08,4.66E-08,0.014185155,704.9623162,0.44082482
at,all,56,0.003774962,0.00395253,1.49E-05,5.83E-05,17.73010795,3.158469206,0.439031627
poor,judgment,18,0.000282793,9.21E-05,2.60E-08,1.02E-07,0.030940085,581.769566,0.438703725
the,two,56,0.032968442,0.000993065,3.27E-05,0.000127929,38.90448471,1.439422741,0.436303194
type,of,55,0.000259775,0.01604359,4.17E-06,1.63E-05,4.952482318,11.10554192,0.427469081
kanye,wests,20,0.000450496,6.91E-05,3.11E-08,1.22E-07,0.036966207,541.0346869,0.422402156
commenting,using,20,0.000105225,0.000295947,3.11E-08,1.22E-07,0.037004753,540.4711091,0.421507657
do,not,55,0.002541852,0.005146181,1.31E-05,5.11E-05,15.54385943,3.538374768,0.415458642
because,she,55,0.001917076,0.007934655,1.52E-05,5.94E-05,18.0755242,3.042788657,0.414672059
hop,cast,15,0.000170991,0.000121667,2.08E-08,8.13E-08,0.024721231,606.7659021,0.405849467
needs,to,54,0.000322253,0.02759208,8.89E-06,3.47E-05,10.56585925,5.11080062,0.393778399
who,has,54,0.002857528,0.003653295,1.04E-05,4.08E-05,12.40505973,4.353062475,0.392575734
because,he,54,0.001917076,0.007599249,1.46E-05,5.69E-05,17.31145314,3.119322195,0.390617569
to,help,54,0.02759208,0.000621488,1.71E-05,6.70E-05,20.37701426,2.650044766,0.389872742
a,year,54,0.021117428,0.001223246,2.58E-05,0.000100936,30.69575115,1.759201127,0.388458815
some,of,54,0.001611264,0.01604359,2.59E-05,0.000101009,30.7179283,1.757931052,0.388456799
being,a,54,0.001236399,0.021117428,2.61E-05,0.000102022,31.02581299,1.740486221,0.388429111
you,will,54,0.010821778,0.002499104,2.70E-05,0.000105676,32.13708628,1.680301678,0.388333587
for,me,54,0.008924432,0.004120233,3.68E-05,0.00014368,43.69441594,1.23585586,0.387628173
blast,race,15,7.89E-05,0.00026964,2.13E-08,8.31E-08,0.025286581,593.1999978,0.384317965
weeknds,big,14,4.60E-05,0.000420902,1.94E-08,7.57E-08,0.02302518,608.0299978,0.383679849
lhhatl,exclusive,15,5.59E-05,0.000381442,2.13E-08,8.33E-08,0.025337977,591.9967524,0.382408201
his,wife,53,0.006356274,0.00057874,3.68E-06,1.44E-05,4.371289262,12.1245694,0.380734535
if,they,53,0.003620412,0.003465863,1.25E-05,4.90E-05,14.91052565,3.554535987,0.367132368
feel,like,52,0.000772749,0.00312388,2.41E-06,9.43E-06,2.868510816,18.12787308,0.366086882
of,us,53,0.01604359,0.001397525,2.24E-05,8.76E-05,26.64310108,1.989257926,0.364647994
brothermans,girlfriend,15,4.93E-05,0.000440631,2.17E-08,8.49E-08,0.025826234,580.804774,0.364644542
you,do,53,0.010821778,0.002541852,2.75E-05,0.000107483,32.6867996,1.621449657,0.364064217
like,that,53,0.00312388,0.011456419,3.58E-05,0.000139842,42.52719865,1.246261256,0.363468726
but,it,53,0.004971902,0.007714339,3.84E-05,0.00014987,45.57690427,1.162869678,0.363336369
adult,content,11,7.89E-05,0.000184145,1.45E-08,5.68E-08,0.017268885,636.9838072,0.357106805
